"Title Number
","Contract
","Scope
","Status
","Cost
","Revenue
","Markup
","Tax
","Total
","Over/Under
"
CR-2403-0079 (3) Added Exterior Gooseneck Light,PC-2403-0001,Owner Change,Approved,"$2,500.00","$2,500.00",$284.00,$0.00,"$2,784.00",$284.00
CR-2403-0070 CMU Block wall tear down at main entrance,PC-2403-0001,Internal,Approved,"$10,400.00",$0.00,$0.00,$0.00,$0.00,"-$10,400.00"
CR-2403-0068 Replace Damaged Frame 123 (DKM),PC-2403-0004,Internal,Approved,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
CR-2403-0082 Kebony Cladding Board,PC-2403-0001,Internal,Draft,"$8,336.00",$0.00,$0.00,$0.00,$0.00,"-$8,336.00"
CR-2403-0080 11/12/2025 Owner Site Walk Add,PC-2403-0001,Owner Change,Approved,"$5,324.00","$5,324.00",$606.00,$0.00,"$5,930.00",$606.00
CR-2403-0081 11.20.2025 Interior Design Updates (2nd Lvl Beer Wall),PC-2403-0001,Owner Change,Approved,"$18,881.00","$22,531.00","$2,563.00",$0.00,"$25,094.00","$6,213.00"
CR-2403-0084 East Interior Volleyball wall fur out,PC-2403-0004,Owner Change,Rejected,"$14,433.00","$14,433.00","$1,642.00",$0.00,"$16,075.00","$1,642.00"
CR-2403-0085 Deduct for drink rails and high tops ,PC-2403-0001,Internal,Draft,"-$58,771.00",$0.00,$0.00,$0.00,$0.00,"$58,771.00"
CR-2403-0086 Added interior walking path along the South and East perimeter of the volleyball building,PC-2403-0004,Owner Change,Rejected,"$23,005.00","$33,005.00","$3,754.00",$0.00,"$36,759.00","$13,754.00"
CR-2403-0088 Remove and reinstall storefront for vapor barrier installation,PC-2403-0001,Internal,Void,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
CR-2403-0087 Winter Conditions (Merritt),PC-2403-0001,Internal,Approved,$688.00,$0.00,$0.00,$0.00,$0.00,-$688.00
CR-2403-0111 DEEM Electrical Change Orders,PC-2403-0001,Owner Change,Draft,"$5,084.00","$5,084.00",$578.00,$0.00,"$5,662.00",$578.00
CR-2403-0090 Fire Rated Ceiling in Elevator Mech Room,PC-2403-0001,Internal,Approved,$490.00,$0.00,$0.00,$0.00,$0.00,-$490.00
CR-2403-0091 Commissary Bulkhead & hard lid,PC-2403-0001,Internal,Approved,"$1,898.00",$0.00,$0.00,$0.00,$0.00,"-$1,898.00"
CR-2403-0092 Deduct for FRP locations & Construct 2nd floor window sills (South Wall),PC-2403-0001,Internal,Approved,"-$6,800.00",$0.00,$0.00,$0.00,$0.00,"$6,800.00"
"CR-2403-0093 Elevator Mech Room Door , Frame, Hardware (CIH)",PC-2403-0001,Internal,Approved,"$2,605.00",$0.00,$0.00,$0.00,$0.00,"-$2,605.00"
CR-2403-0094 Added Storage room under interior stair case,PC-2403-0001,Owner Change,Approved,"$6,543.00",$0.00,$0.00,$0.00,$0.00,"-$6,543.00"
CR-2403-0119 Mural Art ,PC-2403-0001,Owner Change,Approved,"$16,890.00","$16,890.00","$1,921.00",$0.00,"$18,811.00","$1,921.00"
CR-2403-0115 Painting 1st and 2nd floor RR entryways ,PC-2403-0001,Owner Change,Approved,"$1,750.00","$2,400.00",$273.00,$0.00,"$2,673.00",$923.00
CR-2403-0116 2nd Floor Casework (C-04) booth safety caps,PC-2403-0001,Owner Change,Approved,"$1,640.00","$2,200.00",$250.00,$0.00,"$2,450.00",$810.00
CR-2403-0112 1st and 2nd floor bar islands ,PC-2403-0001,Owner Change,Approved,"$13,088.00","$15,120.00","$1,720.00",$0.00,"$16,840.00","$3,752.00"
CR-2403-0113 Ice Cream Shop (4) Added Receptacles ,PC-2403-0001,Owner Change,Approved,"$6,035.00","$6,635.00",$755.00,$0.00,"$7,390.00","$1,355.00"
CR-2403-0095 Men's and Women's Bath Accessories,PC-2403-0001,Internal,Approved,"$3,546.00",$0.00,$0.00,$0.00,$0.00,"-$3,546.00"
CR-2403-0120 Refurbish (2) Owner Provided Countertops ,PC-2403-0001,Owner Change,Approved,$600.00,$600.00,$68.00,$0.00,$668.00,$68.00
CR-2403-0121 (2) Two Semi Recessed Trash Units,PC-2403-0001,Owner Change,Approved,"$1,494.00","$1,494.00",$170.00,$0.00,"$1,664.00",$170.00
CR-2403-0122 Install electrical cover plates at all owner provided lighting locations to prevent schedule delays,PC-2403-0001,Owner Change,Approved,"$1,075.00","$1,075.00",$122.00,$0.00,"$1,197.00",$122.00
CR-2403-0123 Lost & Damaged Items (CIH),PC-2403-0001,Internal,Draft,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
CR-2403-0124 Additional Kebony Boards needed to complete North patio stairs,PC-2403-0001,Internal,Approved,"$3,557.00",$0.00,$0.00,$0.00,$0.00,"-$3,557.00"
CR-2403-0125 Changing Opening 123 from a 20min fire rating to a 45 min. fire rating,PC-2403-0001,Internal,Approved,"$2,648.00",$0.00,$0.00,$0.00,$0.00,"-$2,648.00"
,,,,"$612,854.89","$614,813.83","$69,935.30",$0.00,"$684,749.13","$71,894.24"
