endpoint,version,entity,available,note
Procore,1,ItemWarehouse,true,
Procore,1,JournalTransaction,true,
Procore,1,KitAssembly,true,
Procore,1,KitSpecification,true,
Procore,1,LaborCostRate,true,
Procore,1,Lead,true,
Procore,1,Ledger,true,
Procore,1,LotSerialClass,true,
Procore,1,NonStockItem,true,
Procore,1,NumberingSequences,true,
Procore,1,Opportunity,true,
Procore,1,Payment,true,
Procore,1,PaymentMethod,true,
Procore,1,PhysicalInventoryCount,true,
Procore,1,PhysicalInventoryReview,true,
Procore,1,ProFormaInvoice,true,
Procore,1,ProcoreIntegration,true,
Procore,1,ProcoreProjectTransactions,true,
Procore,1,ProcoreSyncedCCO,true,
Procore,1,ProcoreSyncedChangeOrder,true,
Procore,1,ProcoreSyncedInvoices,true,
Procore,1,ProcoreSyncedPurchaseOrder,true,
Procore,1,ProcoreSyncedRetainageBills,true,
Procore,1,ProcoreSyncedSubcontract,true,
Procore,1,Project,true,
Procore,1,ProjectBilling,true,
Procore,1,ProjectBillingRules,true,
Procore,1,ProjectBudget,true,
Procore,1,ProjectCostBudget,true,
Procore,1,ProjectTask,true,
Procore,1,ProjectTemplate,true,
Procore,1,ProjectTemplateTask,true,
Procore,1,ProjectTransaction,true,
Procore,1,PurchaseOrder,true,
Procore,1,PurchaseReceipt,true,
Procore,1,SalesInvoice,true,
Procore,1,SalesOrder,true,
Procore,1,SalesPriceWorksheet,true,
Procore,1,SalesPricesInquiry,true,
Procore,1,Salesperson,true,
Procore,1,ServiceOrder,true,
Procore,1,ShipVia,true,
Procore,1,Shipment,true,
Procore,1,ShippingBox,true,
Procore,1,ShippingTerm,true,
Procore,1,ShippingZones,true,
Procore,1,StatementCycle,true,
Procore,1,StockItem,true,
Procore,1,StorageDetailsByLocationInquiry,true,
Procore,1,StorageDetailsInquiry,true,
Procore,1,Subaccount,true,
Procore,1,Subcontract,true,
Procore,1,SubstitutionList,true,
Procore,1,Task,true,
Procore,1,Tax,true,
Procore,1,TaxCategory,true,
Procore,1,TaxReportingSettings,true,
Procore,1,TaxZone,true,
Procore,1,TimeEntry,true,
Procore,1,TransferOrder,true,
Procore,1,TrialBalance,true,
Procore,1,UnionLocal,true,
Procore,1,UnitsOfMeasure,true,
Procore,1,Vendor,true,
Procore,1,VendorClass,true,
Procore,1,VendorPriceWorksheet,true,
Procore,1,VendorPricesInquiry,true,
Procore,1,Warehouse,true,
Procore,1,WorkClassCompensationCode,true,
jobplanner,23.200.001,Account,true,
jobplanner,23.200.001,AccountDetailsForPeriodInquiry,true,
jobplanner,23.200.001,AccountGroup,true,
jobplanner,23.200.001,AccountSummaryInquiry,true,
jobplanner,23.200.001,Activity,true,
jobplanner,23.200.001,Appointment,true,
jobplanner,23.200.001,AttributeDefinition,true,
jobplanner,23.200.001,BigCommerceStores,true,
jobplanner,23.200.001,Bill,true,
jobplanner,23.200.001,Budget,true,
jobplanner,23.200.001,BusinessAccount,true,
jobplanner,23.200.001,Carrier,true,
jobplanner,23.200.001,Case,true,
jobplanner,23.200.001,CashSale,true,
jobplanner,23.200.001,ChangeOrder,true,
jobplanner,23.200.001,ChangeOrderClass,true,
jobplanner,23.200.001,Check,true,
jobplanner,23.200.001,CompaniesStructure,true,
jobplanner,23.200.001,CompanyFinancialPeriod,true,
jobplanner,23.200.001,Contact,true,
jobplanner,23.200.001,ContractUsage,true,
jobplanner,23.200.001,CostCode,true,
jobplanner,23.200.001,CreditTerms,true,
jobplanner,23.200.001,Currency,true,
jobplanner,23.200.001,Customer,true,
jobplanner,23.200.001,CustomerClass,true,
jobplanner,23.200.001,CustomerLocation,true,
jobplanner,23.200.001,CustomerPaymentMethod,true,
jobplanner,23.200.001,CustomerPriceClass,true,
jobplanner,23.200.001,DeductionBenefitCode,true,
jobplanner,23.200.001,Discount,true,
jobplanner,23.200.001,DiscountCode,true,
jobplanner,23.200.001,EarningTypeCode,true,
jobplanner,23.200.001,Email,true,
jobplanner,23.200.001,EmailProcessing,true,
jobplanner,23.200.001,Employee,true,
jobplanner,23.200.001,EmployeePayrollClass,true,
jobplanner,23.200.001,EmployeePayrollSettings,true,
jobplanner,23.200.001,Event,true,
jobplanner,23.200.001,ExpenseClaim,true,
jobplanner,23.200.001,ExpenseReceipt,true,
jobplanner,23.200.001,ExternalCommitment,true,
jobplanner,23.200.001,FOBPoint,true,
jobplanner,23.200.001,FinancialPeriod,true,
jobplanner,23.200.001,FinancialYear,true,
jobplanner,23.200.001,InventoryAdjustment,true,
jobplanner,23.200.001,InventoryAllocationInquiry,true,
jobplanner,23.200.001,InventoryIssue,true,
jobplanner,23.200.001,InventoryQuantityAvailable,true,
jobplanner,23.200.001,InventoryReceipt,true,
jobplanner,23.200.001,InventorySummaryInquiry,true,
jobplanner,23.200.001,Invoice,true,
jobplanner,23.200.001,ItemClass,true,
jobplanner,23.200.001,ItemSalesCategory,true,
jobplanner,23.200.001,ItemWarehouse,true,
jobplanner,23.200.001,JournalTransaction,true,
jobplanner,23.200.001,KitAssembly,true,
jobplanner,23.200.001,KitSpecification,true,
jobplanner,23.200.001,LaborCostRate,true,
jobplanner,23.200.001,Lead,true,
jobplanner,23.200.001,Ledger,true,
jobplanner,23.200.001,LotSerialClass,true,
jobplanner,23.200.001,NonStockItem,true,
jobplanner,23.200.001,Opportunity,true,
jobplanner,23.200.001,PTOBank,true,
jobplanner,23.200.001,PayGroup,true,
jobplanner,23.200.001,PayPeriod,true,
jobplanner,23.200.001,Payment,true,
jobplanner,23.200.001,PaymentMethod,true,
jobplanner,23.200.001,PayrollBatch,true,
jobplanner,23.200.001,PayrollUnionLocal,true,
jobplanner,23.200.001,PayrollWCCCode,true,
jobplanner,23.200.001,PhysicalInventoryCount,true,
jobplanner,23.200.001,PhysicalInventoryReview,true,
jobplanner,23.200.001,ProFormaInvoice,true,
jobplanner,23.200.001,Project,true,
jobplanner,23.200.001,ProjectBudget,true,
jobplanner,23.200.001,ProjectTask,true,
jobplanner,23.200.001,ProjectTemplate,true,
jobplanner,23.200.001,ProjectTemplateTask,true,
jobplanner,23.200.001,ProjectTransaction,true,
jobplanner,23.200.001,PurchaseOrder,true,
jobplanner,23.200.001,PurchaseReceipt,true,
jobplanner,23.200.001,SalesInvoice,true,
jobplanner,23.200.001,SalesOrder,true,
jobplanner,23.200.001,SalesPriceWorksheet,true,
jobplanner,23.200.001,SalesPricesInquiry,true,
jobplanner,23.200.001,Salesperson,true,
jobplanner,23.200.001,ServiceOrder,true,
jobplanner,23.200.001,ShipVia,true,
jobplanner,23.200.001,Shipment,true,
jobplanner,23.200.001,ShippingBox,true,
jobplanner,23.200.001,ShippingTerm,true,
jobplanner,23.200.001,ShippingZones,true,
jobplanner,23.200.001,ShopifyStore,true,
jobplanner,23.200.001,StockItem,true,
jobplanner,23.200.001,StorageDetailsByLocationInquiry,true,
jobplanner,23.200.001,StorageDetailsInquiry,true,
jobplanner,23.200.001,Subaccount,true,
jobplanner,23.200.001,Subcontract,true,
jobplanner,23.200.001,Task,true,
jobplanner,23.200.001,Tax,true,
jobplanner,23.200.001,TaxCategory,true,
jobplanner,23.200.001,TaxReportingSettings,true,
jobplanner,23.200.001,TaxZone,true,
jobplanner,23.200.001,TemplateItems,true,
jobplanner,23.200.001,TimeEntry,true,
jobplanner,23.200.001,TransferOrder,true,
jobplanner,23.200.001,UnionLocal,true,
jobplanner,23.200.001,UnitsOfMeasure,true,
jobplanner,23.200.001,Vendor,true,
jobplanner,23.200.001,VendorClass,true,
jobplanner,23.200.001,VendorPriceWorksheet,true,
jobplanner,23.200.001,VendorPricesInquiry,true,
jobplanner,23.200.001,Warehouse,true,
jobplanner,23.200.001,WorkCalendar,true,
jobplanner,23.200.001,WorkClassCompensationCode,true,
jobplanner,23.200.001,WorkLocation,true,
JPEndpoints,24.200.001,Account,true,
JPEndpoints,24.200.001,AccountDetailsForPeriodInquiry,true,
JPEndpoints,24.200.001,AccountGroup,true,
JPEndpoints,24.200.001,AccountSummaryInquiry,true,
JPEndpoints,24.200.001,Activity,true,
JPEndpoints,24.200.001,AmazonStore,true,
JPEndpoints,24.200.001,Appointment,true,
JPEndpoints,24.200.001,AttributeDefinition,true,
JPEndpoints,24.200.001,BigCommerceStores,true,
JPEndpoints,24.200.001,Bill,true,
JPEndpoints,24.200.001,Budget,true,
JPEndpoints,24.200.001,BusinessAccount,true,
JPEndpoints,24.200.001,Carrier,true,
JPEndpoints,24.200.001,Case,true,
JPEndpoints,24.200.001,CashSale,true,
JPEndpoints,24.200.001,CashTransaction,true,
JPEndpoints,24.200.001,ChangeOrder,true,
JPEndpoints,24.200.001,ChangeOrderClass,true,
JPEndpoints,24.200.001,Check,true,
JPEndpoints,24.200.001,CompaniesStructure,true,
JPEndpoints,24.200.001,CompanyFinancialPeriod,true,
JPEndpoints,24.200.001,CompanyTree,true,
JPEndpoints,24.200.001,Contact,true,
JPEndpoints,24.200.001,ContractUsage,true,
JPEndpoints,24.200.001,CostCode,true,
JPEndpoints,24.200.001,CreditTerms,true,
JPEndpoints,24.200.001,Currency,true,
JPEndpoints,24.200.001,Customer,true,
JPEndpoints,24.200.001,CustomerClass,true,
JPEndpoints,24.200.001,CustomerLocation,true,
JPEndpoints,24.200.001,CustomerPaymentMethod,true,
JPEndpoints,24.200.001,CustomerPriceClass,true,
JPEndpoints,24.200.001,DeductionBenefitCode,true,
JPEndpoints,24.200.001,Department,true,
JPEndpoints,24.200.001,Discount,true,
JPEndpoints,24.200.001,DiscountCode,true,
JPEndpoints,24.200.001,EarningTypeCode,true,
JPEndpoints,24.200.001,Email,true,
JPEndpoints,24.200.001,EmailProcessing,true,
JPEndpoints,24.200.001,Employee,true,
JPEndpoints,24.200.001,EmployeeClass,true,
JPEndpoints,24.200.001,EmployeePayrollClass,true,
JPEndpoints,24.200.001,EmployeePayrollSettings,true,
JPEndpoints,24.200.001,EmployeeTimeCard,true,
JPEndpoints,24.200.001,Equipment,true,
JPEndpoints,24.200.001,EquipmentTimeCard,true,
JPEndpoints,24.200.001,Event,true,
JPEndpoints,24.200.001,ExpenseClaim,true,
JPEndpoints,24.200.001,ExpenseReceipt,true,
JPEndpoints,24.200.001,ExternalCommitment,true,
JPEndpoints,24.200.001,FOBPoint,true,
JPEndpoints,24.200.001,FinancialPeriod,true,
JPEndpoints,24.200.001,FinancialYear,true,
JPEndpoints,24.200.001,InventoryAdjustment,true,
JPEndpoints,24.200.001,InventoryAllocationInquiry,true,
JPEndpoints,24.200.001,InventoryIssue,true,
