invoice_id,invoice_number,status,commitment,vendor,amount,bill_description
3135,002416,FLAGGED_ON_SHELL,SC-000316,ROCKSOLID,7395.12,"SC-2603-0020 PayApp4 Goodwill Bloomington"
3136,002417,FLAGGED_ON_SHELL,SC-000316,ROCKSOLID,9200.13,"SC-2603-0020 PayApp3 Goodwill Bloomington - Retainage"
3137,002418,FLAGGED_ON_SHELL,SC-000316,ROCKSOLID,6903.53,"SC-2603-0020 PayApp1 Goodwill Bloomington - Retainage"
3138,002419,FLAGGED_ON_SHELL,SC-000316,ROCKSOLID,1787.28,"SC-2603-0020 PayApp2 Goodwill Bloomington - Retainage"
3141,002422,MOVED,SC-000232,EURO,10574.1,"SC-2603-0015 PayApp2 Goodwill Bloomington"
3157,002445,MOVED,SC-000182,SCFAB,695.21,"SC-2603-0002 PayApp5 Goodwill Bloomington - Retainage"
3159,002446,FLAGGED_ON_SHELL,SC-000316,ROCKSOLID,821.68,"SC-2603-0020 PayApp4 Goodwill Bloomington - Retainage"
3160,002447,MOVED,SC-000221,CASE CONCE,270,"SC-2603-0010 PayApp2 Goodwill Bloomington"
3166,002452,FLAGGED_ON_SHELL,SC-000316,ROCKSOLID,11727.49,"SC-2603-0020 PayApp5 Goodwill Bloomington"
3167,002453,MOVED,SC-000160,MCCRAY,5098.25,"SC-2603-0009 PayApp1 Goodwill Bloomington - Retainage"
3168,002454,MOVED,SC-000160,MCCRAY,3042,"SC-2603-0009 PayApp2 Goodwill Bloomington - Retainage"
3170,002456,FLAGGED_ON_SHELL,SC-000316,ROCKSOLID,1303.05,"SC-2603-0020 PayApp5 Goodwill Bloomington - Retainage"
3171,002457,MOVED,SC-000225,QUALITY,2580,"SC-2603-0012 Goodwill Bloomington - retainage"
3173,002474,FLAGGED_ON_SHELL,SC-000316,PEOPLE,1315.55,"Inv29302489 GW Bloomington"
3175,002475,FLAGGED_ON_SHELL,SC-000316,PEOPLE,374.27,"Inv29313026 GW Bloomington"
3176,002476,FLAGGED_ON_SHELL,SC-000316,K&S,587.5,"9/15/25-9/24/25 Landfill Fees, Clean Fill & Daily Set Charge - Goodwill Blooming"
3177,002478,MOVED,SC-000208,VISTA,122.5,"SC-2603-0023 Goodwill Bloomington - retainage"
3178,002479,MOVED,SC-000295,COOLPLANET,30186,"SC-2603-0025 Goodwill Bloomington PayApp1 - 50% Downpayment"
3190,002493,FLAGGED_ON_SHELL,SC-000316,K&S,282.6,"10/6/25 Landfill Fees - Goodwill Bloomington"
3192,002494,FLAGGED_ON_SHELL,SC-000316,UNIREN,179.01,"248179719-006 - Temporary Fence - Goodwill Bloomington"
3195,002501,FLAGGED_ON_SHELL,SC-000316,PATRIOTENG,1126,"Professional Services through 7/31/25 - Goodwill Bloomington"
3202,002514,MOVED,SC-000221,CASE CONCE,738.6,"SC-2603-0010 PayApp1 Goodwill Bloomington Retainage"
3203,002515,MOVED,SC-000221,CASE CONCE,360,"SC-2603-0010 PayApp3 Goodwill Bloomington"
3204,002516,MOVED,SC-000232,EURO,30464.1,"SC-2603-0015 PayApp3 Goodwill Bloomington"
3205,002517,MOVED,SC-000227,GARDOOR,14707.8,"SC-2603-0013 PayApp2 Goodwill Bloomington"
3206,002518,MOVED,SC-000156,GLENMARK,14349.6,"SC-2603-0019 PayApp8 Goodwill Bloomington"
3207,002520,MOVED,SC-000303,SNEDCONST,4500,"SC-2603-0027 Goodwill Bloomington"
3208,002523,MOVED,SC-000221,CASE CONCE,30,"SC-2603-0010 PayApp2 Goodwill Bloomington Retainage"
