Reference Nbr.,Status,Class ID,Customer ID,Project ID,Description,Revenue Change Nbr.,Change Date,Approval Date,Customer Name,Revenue Budget Change Total,Gross Margin Amount,Created On
001465,Closed,DEFAULT,IBEACH,24-115,"CCO-2403-0072 - (5) - 6' x 5' fixed storefront windows on the first floor_x000A_(3) - Single storefront doors (118A, 118B, 123D)_x000A_20 pcs - Fire-rated glass for HM windows",0231,11/3/2025,11/3/2025,iBeach Holding Partners LLC,0.00,0.00,11/26/2025
001448,Closed,DEFAULT,IBEACH,24-115,"CCO-2403-0073 - Frame for opening 123(A) which was damaged on site by DKM_x000A_1 6070 DBL 4"" header, LHR/RHR",0221,11/5/2025,11/5/2025,iBeach Holding Partners LLC,0.00,0.00,11/17/2025
001515,Closed,DEFAULT,IBEACH,24-115,"CCO-2403-0074 - Frame for opening 123(A) was damaged on site by DKM_x000A_1 6070 DBL 4"" header, LHR/RHR",0262,11/5/2025,11/5/2025,iBeach Holding Partners LLC,0.00,0.00,12/3/2025
001451,Closed,DEFAULT,IBEACH,24-115,"CCO-2403-0075 - Frame openings and install (3) 24x48"" access panels at sides and middle of Beer Wall facing the restrooms",0224,11/5/2025,11/5/2025,iBeach Holding Partners LLC,0.00,0.00,11/17/2025
001445,Closed,DEFAULT,IBEACH,24-115,"CCO-2403-0076 - Frame for the riser room was ordered wrong. A 2"" header was needed and a 4"" header was ordered. Superior cut the frame to fit._x000A_Added cost for Superior to install all exterior hollow metal doors, frames, and hardware.",0218,11/7/2025,11/7/2025,iBeach Holding Partners LLC,0.00,0.00,11/17/2025
001507,Closed,DEFAULT,IBEACH,24-115,"CCO-2403-0077 - Ceiling Tile Credit _x000A_     - Private Room and Pod Room : USG 4211_x000A_     -  Kitchen Areas, Bathroom, etc: USG 3210_x000A_Frame between existing building girts, install dense glass, and tyvek in 2 areas of the building",0255,11/7/2025,11/7/2025,iBeach Holding Partners LLC,0.00,0.00,12/3/2025
001508,Closed,DEFAULT,IBEACH,24-115,"CCO-2403-0078 - Frame & Drywall new elevator Equipment Room  & Install only a new 6'-0"" x 7'-0"" door & Frame_x000A_Frame new wall outside of room 214 & install drywall & tile backer_x000A_Install (5) welded frames at demising wall",0256,11/10/2025,11/10/2025,iBeach Holding Partners LLC,0.00,0.00,12/3/2025
001457,Closed,DEFAULT,IBEACH,24-115,"CCO-2403-0079 - Added sidewalk from the North volleyball patio, connecting to the dumpster sidewalk._x000A_Cost for labor to form, pour and finish added sidewalk_x000A_Cost for concrete",0225,11/17/2025,11/17/2025,iBeach Holding Partners LLC,0.00,0.00,11/21/2025
001458,Closed,DEFAULT,IBEACH,24-115,"CCO-2403-0080 - Added sidewalk from the North volleyball patio, connecting to the dumpster sidewalk. _x000A_Cost for labor to form, pour, and finish added sidewalk_x000A_Cost for concrete",0226,11/19/2025,11/19/2025,iBeach Holding Partners LLC,0.00,0.00,11/21/2025
001514,Closed,DEFAULT,IBEACH,24-115,"CCO-2403-0081 - T&M Tickets from July through September approved by Superintendent_x000A_""LeMaster to torch base plate for EPX008, CX022, CX024, laying out anchors to torch/ leveling nuts on CX022""_x000A_""LeMaster to move corner column (CX030) 10.5"" for correct locati",0261,11/21/2025,11/21/2025,iBeach Holding Partners LLC,0.00,0.00,12/3/2025
001463,Closed,DEFAULT,IBEACH,24-115,"CCO-2403-0082 - T&M Tickets from July through September approved by Superintendent_x000A__x000A_LeMaster to move things back for Pinklady_x000A_LeMaster to move structural steel and girt off parking lot for United_x000A_LeMaster to torch base plates for EPX008, CX022, CX024, layi",0229,11/21/2025,11/21/2025,iBeach Holding Partners LLC,0.00,0.00,11/25/2025
001461,Closed,DEFAULT,IBEACH,24-115,CCO-2403-0083 - T&M Tickets from July through September approved by Superintendent_x000A_Moving Materials around the site for operations to continue in parking lots_x000A_Clearing lot for lime stabilization_x000A_Relocating anchor bolts from design errors,0227,11/25/2025,11/25/2025,iBeach Holding Partners LLC,0.00,0.00,11/25/2025
001462,Closed,DEFAULT,IBEACH,24-115,CCO-2403-0084 - T&M Tickets from July through September approved by Superintendent_x000A_Moving Materials around the site for operations to continue in parking lots_x000A_Clearing lot for lime stabilization_x000A_Relocating anchor bolts from design errors,0228,11/25/2025,11/25/2025,iBeach Holding Partners LLC,0.00,0.00,11/25/2025
