Item No,Sub Job,Cost Code,Cost Type,Description Of Work,Scheduled Value,Work Completed: From Previous Application,Work Completed: This Period,Materials Presently Stored,Total Completed and Stored To Date,%,Balance To Finish,From Previous Application: Work Retainage $,From Previous Application: Materials Retainage $,From Previous Application: Total $,Retained This Period: Work Retainage %,Retained This Period: Work Retainage $,Retained This Period: Materials Retainage %,Retained This Period: Materials Retainage $,Released This Period: Work Retainage $,Released This Period: Materials Retainage $,Currently Retained: Work Retainage $,Currently Retained: Materials Retainage $,Total $
31,"",01-6503,X,Added truck fuel,4000.0,4000.0,0.0,0.0,4000.0,100.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,"",01-6500,X,Added Travel,2500.0,2500.0,0.0,0.0,2500.0,100.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,"",01-7333,E,Added Misc Small Tools,1200.0,1200.0,0.0,0.0,1200.0,100.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,"",01-7336,X,Added Equipment Rental,3750.0,3750.0,0.0,0.0,3750.0,100.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,"",01-7413,L,Added progress cleaning,3250.0,3250.0,0.0,0.0,3250.0,100.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,"",01-7419,E,Added Dumpsters,6600.0,6600.0,0.0,0.0,6600.0,100.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,"",01-7423,S,Added final cleaniing,8842.5,8842.5,0.0,0.0,8842.5,100.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,"",02-4113,S,Added Demo Phase 1&2,53395.5,53395.5,0.0,0.0,53395.5,100.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,"",03-3000,S,Infill Pool & Add Sidewalk,17020.0,17020.0,0.0,0.0,17020.0,100.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,"",03-3000,M,,12218.28,12218.28,0.0,0.0,12218.28,100.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
