table,id,parent_id,project_id,contract_number,parent_title,parent_status,line_number,budget_code,normalized_budget_code,description,amount,reason,typed_candidate_ids,typed_candidate_labels,other_candidate_ids,other_candidate_labels,recommended_action
"subcontract_sov_items","64310825-9b3f-4506-8b50-f1d2271e194f","7b218f1a-ea33-412e-bd5d-3c73d07a4d4b","1067","SC-000425","Subcontract for demolition and finish work to renovate a Win","Approved","15","095100","095100","Cost of Contracts- Subco","16400","no_project_budget_code_match","","","","","Create/activate the missing project budget code or mark the row intentionally unmapped."
"subcontract_sov_items","82330a51-ca45-4184-b4b5-132cf1ea4bb4","7b218f1a-ea33-412e-bd5d-3c73d07a4d4b","1067","SC-000425","Subcontract for demolition and finish work to renovate a Win","Approved","16","095100","095100","Cost of Contracts- Subco","700","no_project_budget_code_match","","","","","Create/activate the missing project budget code or mark the row intentionally unmapped."
"subcontract_sov_items","164071fe-1788-4425-8f99-2303b9e60036","7b218f1a-ea33-412e-bd5d-3c73d07a4d4b","1067","SC-000425","Subcontract for demolition and finish work to renovate a Win","Approved","17","095100","095100","Cost of Contracts- Subco","1600","no_project_budget_code_match","","","","","Create/activate the missing project budget code or mark the row intentionally unmapped."
"subcontract_sov_items","cbf96fb6-8675-46d0-8bdf-5aab369577bb","7b218f1a-ea33-412e-bd5d-3c73d07a4d4b","1067","SC-000425","Subcontract for demolition and finish work to renovate a Win","Approved","18","095100","095100","Cost of Contracts- Subco","3800","no_project_budget_code_match","","","","","Create/activate the missing project budget code or mark the row intentionally unmapped."
"subcontract_sov_items","cbc4897d-ae57-4d7e-9056-15a24c26875c","7b218f1a-ea33-412e-bd5d-3c73d07a4d4b","1067","SC-000425","Subcontract for demolition and finish work to renovate a Win","Approved","19","095100","095100","Cost of Contracts- Subco","12000","no_project_budget_code_match","","","","","Create/activate the missing project budget code or mark the row intentionally unmapped."
"subcontract_sov_items","f8d490f1-5947-4ffd-b077-8164f9a35778","7c9e1fb9-8d84-4bf1-bd38-6ef3300df28f","754","SC-8189-0003","","Approved","1","","","SC-8189-0003","61500","blank_code_nonzero_amount","","","","","Source data repair required: assign a project budget code before this financial amount can be trusted."
"subcontract_sov_items","43a0ed4c-7f12-4c08-8ea4-19f1b367f130","7db908ae-c05e-4536-b2ca-5efd8653044c","761","SC-000329","HVAC Subcontract","Approved","1","237000","237000","Cost of Contracts- Subco","156757.41","no_project_budget_code_match","","","","","Create/activate the missing project budget code or mark the row intentionally unmapped."
"subcontract_sov_items","fe7f25e7-50d2-46f4-85b5-0a49acea932a","7db908ae-c05e-4536-b2ca-5efd8653044c","761","SC-000329","HVAC Subcontract","Approved","2","237000","237000","Cost of Contracts- Subco","339000","no_project_budget_code_match","","","","","Create/activate the missing project budget code or mark the row intentionally unmapped."
"subcontract_sov_items","0020ecd8-eb42-4442-9a7b-a4cca7380e81","7db908ae-c05e-4536-b2ca-5efd8653044c","761","SC-000329","HVAC Subcontract","Approved","3","237000","237000","Cost of Contracts- Subco","45000","no_project_budget_code_match","","","","","Create/activate the missing project budget code or mark the row intentionally unmapped."
"subcontract_sov_items","bbe6717b-93aa-4477-921f-8b5bf4f4b725","7db908ae-c05e-4536-b2ca-5efd8653044c","761","SC-000329","HVAC Subcontract","Approved","4","237000","237000","Cost of Contracts- Subco","6000","no_project_budget_code_match","","","","","Create/activate the missing project budget code or mark the row intentionally unmapped."
