Reference Nbr.,Status,Class ID,Customer ID,Project ID,Description,Revenue Change Nbr.,Change Date,Approval Date,Customer Name,Revenue Budget Change Total,Gross Margin Amount,Created On
001528,Closed,DEFAULT,CRAVING,24-115,"CCO-2403-0091 - Owner adds/ changes from owners site walk on 11/12/2025_x000A_- Install a new 30"" door and frame in place of 3 access panels at back of 1st floor beer wall_x000A_- Construct new bulkhead to terminate ACT in cooler area_x000A_- Eliminate ACT ceiling in WIC ro",0270,12/8/2025,12/8/2025,CRAVING CREPES LLC,0.00,0.00,12/8/2025
001526,Closed,DEFAULT,CRAVING,24-115,"CCO-2403-0094 - During the 11/12/2025 site walk, the owner added 3 exterior gooseneck lights to the main entrance of the Collective Building._x000A_Lights are to be centered above the Westfield Collective Logo at the main entrance parapet wall.",0268,12/8/2025,12/8/2025,CRAVING CREPES LLC,0.00,0.00,12/8/2025
001589,Closed,DEFAULT,CRAVING,24-115,"CCO-2403-0096 - Due to weather barrier being installed incorrectly, JTB masonry had to tear down already install block. And then reorder damaged block.",0275,12/18/2025,12/18/2025,CRAVING CREPES LLC,0.00,0.00,12/23/2025
001587,Closed,DEFAULT,CRAVING,24-115,"CCO-2403-0097 - The three single storefront doors located within the PEMB were framed at 7'-4"" instead of 7'-2"" causing the need for break metal. _x000A_Cost for Diamond Glass to purchase and install flat brake metal to match the installed storefront.",0274,12/18/2025,12/18/2025,CRAVING CREPES LLC,0.00,0.00,12/23/2025
001586,Closed,DEFAULT,CRAVING,24-115,CCO-2403-0098 - - Guaranteed dimensions for fabrication were not held by Alleato Group resulting in Diamond Glass having to cut down transoms and reordering upper glass units _x000A_- Openings _x000A_     - 200A _x000A_     - 200B_x000A_     - Aluminum Storefront Elevation 5,0273,12/23/2025,12/23/2025,CRAVING CREPES LLC,0.00,0.00,12/23/2025
001687,Closed,DEFAULT,CRAVING,24-115,"CCO-2403-0099 - Frame in ceiling inside elevator mechanical room_x000A_Install 2 layers of 5/8"" drywall and finish for paint",0317,12/29/2025,12/29/2025,CRAVING CREPES LLC,0.00,0.00,1/26/2026
001688,Closed,DEFAULT,CRAVING,24-115,CCO-2403-0100 - Credit for deducting all FRP locations besides in storage and commissary room._x000A_Add for labor and materials to install windowsills below the windows on the second floor.,0318,12/30/2025,12/30/2025,CRAVING CREPES LLC,0.00,0.00,1/26/2026
001623,Closed,DEFAULT,CRAVING,24-115,"CCO-2403-0101 - Cost to install added 30 tap beer wall on the second floor of the Collective building. _x000A_Material and labor for metal stud framing_x000A_Install 2'x4' access door_x000A_Hang tile backer board and drywall at the face, both sides, and top of added wall.",0279,12/30/2025,12/30/2025,CRAVING CREPES LLC,0.00,0.00,1/7/2026
001682,Closed,DEFAULT,CRAVING,24-115,CCO-2403-0102 - Cost to install added 30 tap beer wall on the second floor of the Collective building. _x000A_Added Casework for 2nd floor beer wall._x000A_Includes ordering materials_x000A_Includes building casework_x000A_Includes installing casework,0312,12/30/2025,12/30/2025,CRAVING CREPES LLC,0.00,0.00,1/22/2026
001679,Closed,DEFAULT,CRAVING,24-115,CCO-2403-0103 - Cost to install added 30 tap beer wall on the second floor of the Collective building. _x000A_Cost for material and labor to connect first floor beer wall to second floor beer wall. 2nd floor beer wall will have the same requirements as the first,0309,12/30/2025,12/30/2025,CRAVING CREPES LLC,0.00,0.00,1/22/2026
