Reference Nbr.,Status,Class ID,Customer ID,Project ID,Description,Revenue Change Nbr.,Change Date,Approval Date,Customer Name,Revenue Budget Change Total,Gross Margin Amount,Created On
001744,On Hold,DEFAULT,CRAVING,24-115,Budget Modification,0355,2/16/2026,2/16/2026,CRAVING CREPES LLC,0.00,0.00,2/16/2026
001743,On Hold,DEFAULT,CRAVING,24-115,Budget Modification,0354,2/16/2026,2/16/2026,CRAVING CREPES LLC,0.00,0.00,2/16/2026
001742,On Hold,DEFAULT,CRAVING,24-115,Budget Modification,0353,2/16/2026,2/16/2026,CRAVING CREPES LLC,0.00,0.00,2/16/2026
001741,On Hold,DEFAULT,CRAVING,24-115,Budget Modification,0352,2/16/2026,2/16/2026,CRAVING CREPES LLC,0.00,0.00,2/16/2026
001740,On Hold,DEFAULT,CRAVING,24-115,Budget Modification,0351,2/16/2026,2/16/2026,CRAVING CREPES LLC,0.00,0.00,2/16/2026
001739,On Hold,DEFAULT,CRAVING,24-115,Budget Modification,0350,2/16/2026,2/16/2026,CRAVING CREPES LLC,0.00,0.00,2/16/2026
001738,On Hold,DEFAULT,CRAVING,24-115,Budget Modification,0349,2/16/2026,2/16/2026,CRAVING CREPES LLC,0.00,0.00,2/16/2026
001737,On Hold,DEFAULT,CRAVING,24-115,Budget Modification,0348,2/16/2026,2/16/2026,CRAVING CREPES LLC,0.00,0.00,2/16/2026
001736,On Hold,DEFAULT,CRAVING,24-115,Budget Modification,0347,2/16/2026,2/16/2026,CRAVING CREPES LLC,0.00,0.00,2/16/2026
001735,On Hold,DEFAULT,CRAVING,24-115,Budget Modification,0346,2/16/2026,2/16/2026,CRAVING CREPES LLC,0.00,0.00,2/16/2026
001734,On Hold,DEFAULT,CRAVING,24-115,Budget Modification,0345,2/16/2026,2/16/2026,CRAVING CREPES LLC,0.00,0.00,2/16/2026
001733,On Hold,DEFAULT,CRAVING,24-115,Budget Modification,0344,2/16/2026,2/16/2026,CRAVING CREPES LLC,0.00,0.00,2/16/2026
001732,On Hold,DEFAULT,CRAVING,24-115,Budget Modification,0343,2/16/2026,2/16/2026,CRAVING CREPES LLC,0.00,0.00,2/16/2026
001731,On Hold,DEFAULT,CRAVING,24-115,Budget Modification,0342,2/16/2026,2/16/2026,CRAVING CREPES LLC,0.00,0.00,2/16/2026
001730,On Hold,DEFAULT,CRAVING,24-115,Budget Modification,0341,2/16/2026,2/16/2026,CRAVING CREPES LLC,0.00,0.00,2/16/2026
001729,On Hold,DEFAULT,CRAVING,24-115,Budget Modification,0340,2/16/2026,2/16/2026,CRAVING CREPES LLC,0.00,0.00,2/16/2026
001728,On Hold,DEFAULT,CRAVING,24-115,Budget Modification,0339,2/16/2026,2/16/2026,CRAVING CREPES LLC,0.00,0.00,2/16/2026
001727,On Hold,DEFAULT,CRAVING,24-115,Budget Modification,0338,2/16/2026,2/16/2026,CRAVING CREPES LLC,0.00,0.00,2/16/2026
001726,On Hold,DEFAULT,CRAVING,24-115,Budget Modification,0337,2/16/2026,2/16/2026,CRAVING CREPES LLC,0.00,0.00,2/16/2026
001725,On Hold,DEFAULT,CRAVING,24-115,Budget Modification,0336,2/16/2026,2/16/2026,CRAVING CREPES LLC,0.00,0.00,2/16/2026
001724,On Hold,DEFAULT,CRAVING,24-115,Budget Modification,0335,2/16/2026,2/16/2026,CRAVING CREPES LLC,0.00,0.00,2/16/2026
001723,On Hold,DEFAULT,CRAVING,24-115,Budget Modification,0334,2/16/2026,2/16/2026,CRAVING CREPES LLC,0.00,0.00,2/16/2026
001722,On Hold,DEFAULT,CRAVING,24-115,Budget Modification,0333,2/16/2026,2/16/2026,CRAVING CREPES LLC,0.00,0.00,2/16/2026
001721,On Hold,DEFAULT,CRAVING,24-115,Budget Modification,0332,2/16/2026,2/16/2026,CRAVING CREPES LLC,0.00,0.00,2/16/2026
001720,On Hold,DEFAULT,CRAVING,24-115,Budget Modification,0331,2/16/2026,2/16/2026,CRAVING CREPES LLC,0.00,0.00,2/16/2026
001719,On Hold,DEFAULT,CRAVING,24-115,Budget Modification,0330,2/16/2026,2/16/2026,CRAVING CREPES LLC,0.00,0.00,2/16/2026
