Type,Reference Nbr.,Status,Payment Date,Payment Period,Customer,Customer Name,Description,Payment Ref.,Payment Amount,Currency,Cash Account,Payment Method,Created On
Payment,000276,Closed,3/2/2026,03-2026,ASPIRESL,Aspire at Saint Lucie,Aspire at St. Lucie - RI-3231-0001,CK 1469,"15,000.00",USD,CHECKING,CHECK,3/3/2026
Payment,000275,Closed,3/2/2026,03-2026,CRAVING,CRAVING CREPES LLC,iBeach Holding Partners LLC - PayApp 12,TRN: 0870641061FF,"620,151.98",USD,CHECKING,ACH PYMT,3/3/2026
Credit Memo,000465,Closed,2/28/2026,02-2026,GOODWILL,"Goodwill Industries of Central Indiana, Llc",Noblesville PayApp 2 - RI-5092-0002,,"1,089,607.55",USD,,,2/27/2026
Payment,000274,Closed,2/27/2026,02-2026,GOODWILL,"Goodwill Industries of Central Indiana, Llc",Goodwill Curb Cut PayApp4, ID:1350893506,561.42,USD,CHECKING,ACH PYMT,2/27/2026
Payment,000273,Closed,2/27/2026,02-2026,GOODWILL,"Goodwill Industries of Central Indiana, Llc",Goodwill Curb Cut PayApp3,ID:1350893506,"1,829.11",USD,CHECKING,ACH PYMT,2/27/2026
Payment,000272,Closed,2/27/2026,02-2026,GOODWILL,"Goodwill Industries of Central Indiana, Llc",Goodwill Curb Cut PayApp2,ID:1350893506,"18,024.00",USD,CHECKING,ACH PYMT,2/27/2026
Payment,000271,Closed,2/27/2026,02-2026,VARGO,"Vargo, LLC",Ulta Dallas Retrofit Pay App 011,ID:9148240000,"22,168.39",USD,CHECKING,ACH PYMT,2/27/2026
Payment,000270,Closed,2/26/2026,02-2026,UNIQLO,Uniqlo USA LLC,RI-3729-0010 1/1/2026 - 1/31/2026, ID:1455343312,"189,329.70",USD,CHECKING,ACH PYMT,2/26/2026
Payment,000269,Closed,2/24/2026,02-2026,UNIQLO,Uniqlo USA LLC,Uniqlo Phillipsburg NJ - PayApp009,ID:1455343312,"135,004.28",USD,CHECKING,ACH PYMT,2/24/2026
Payment,000268,Closed,2/20/2026,02-2026,FORZA,Forza Commercial Real Estate,RCLS PAYMENT TO FORZA 24-105,RCLS,0.00,USD,CHECKING,CHECK,2/20/2026
Payment,000267,Closed,2/20/2026,02-2026,UNIQLO,Uniqlo USA LLC,,ID:1834491326,"187,538.46",USD,CHECKING,ACH PYMT,2/20/2026
Payment,000266,Closed,2/18/2026,02-2026,CRAVING,CRAVING CREPES LLC,TRN: 0886401049FF,TRN: 0886401049FF,"100,000.00",USD,CHECKING,ACH PYMT,2/19/2026
