route,kind,dynamic,refCount,file,refSample
/[projectId]/punch-list,page,true,0,frontend/src/app/(main)/[projectId]/punch-list/page.tsx,
/[projectId]/reporting,page,true,0,frontend/src/app/(main)/[projectId]/reporting/page.tsx,
/[projectId]/rfis,page,true,0,frontend/src/app/(main)/[projectId]/rfis/page.tsx,
/[projectId]/rfis/[rfiId],page,true,0,frontend/src/app/(main)/[projectId]/rfis/[rfiId]/page.tsx,
/[projectId]/rfis/new,page,true,0,frontend/src/app/(main)/[projectId]/rfis/new/page.tsx,
/[projectId]/schedule,page,true,0,frontend/src/app/(main)/[projectId]/schedule/page.tsx,
/[projectId]/setup,page,true,0,frontend/src/app/(main)/[projectId]/setup/page.tsx,
/[projectId]/sov,page,true,0,frontend/src/app/(main)/[projectId]/sov/page.tsx,
/[projectId]/specifications,page,true,0,frontend/src/app/(main)/[projectId]/specifications/page.tsx,
/[projectId]/specifications/[sectionId],page,true,0,frontend/src/app/(main)/[projectId]/specifications/[sectionId]/page.tsx,
/[projectId]/submittals,page,true,0,frontend/src/app/(main)/[projectId]/submittals/page.tsx,
/[projectId]/submittals/[submittalId],page,true,0,frontend/src/app/(main)/[projectId]/submittals/[submittalId]/page.tsx,
/[projectId]/transmittals,page,true,0,frontend/src/app/(main)/[projectId]/transmittals/page.tsx,
/access-denied,page,false,3,frontend/src/app/access-denied/page.tsx,frontend/src/app/(main)/[projectId]/client-dashboard/page.tsx; frontend/src/app/(main)/[projectId]/layout.tsx; frontend/src/components/guards/permission-guard.tsx
/admin-check,page,false,1,frontend/src/app/(main)/admin-check/page.tsx,frontend/src/app/api/auth/admin-check/route.ts
/admin/ai-observability,page,false,0,frontend/src/app/(main)/admin/ai-observability/page.tsx,
/admin/company-knowledge,page,false,3,frontend/src/app/(main)/admin/company-knowledge/page.tsx,frontend/src/app/api/admin/company-knowledge/route.ts; frontend/src/hooks/use-company-knowledge.ts; frontend/src/lib/navigation-config.ts
/ai-assistant,page,false,11,frontend/src/app/(chat)/ai-assistant/page.tsx,frontend/src/app/(main)/admin/ai-observability/page.tsx; frontend/src/app/api/ai-assistant/conversations/[sessionId]/route.ts; frontend/src/app/api/ai-assistant/conversations/route.ts; frontend/src/app/api/ai-assistant/feedback/route.ts; frontend/src/app/api/ai-assistant/messages/[sessionId]/route.ts
/api-docs,page,false,1,frontend/src/app/api-docs/page.tsx,frontend/src/app/redoc/page.tsx
/api/admin/company-context,api,false,1,frontend/src/app/api/admin/company-context/route.ts,frontend/src/hooks/use-company-knowledge.ts
/api/admin/company-knowledge,api,false,1,frontend/src/app/api/admin/company-knowledge/route.ts,frontend/src/hooks/use-company-knowledge.ts
/api/admin/set-admin-status,api,false,0,frontend/src/app/api/admin/set-admin-status/route.ts,
/api/ai-assistant/chat,api,false,2,frontend/src/app/api/ai-assistant/chat/route.ts,frontend/src/components/ai-assistant/rag-chat-page.tsx; frontend/src/components/chat/simple-rag-chat.tsx
/api/ai-assistant/conversations,api,false,3,frontend/src/app/api/ai-assistant/conversations/route.ts,frontend/src/app/api/ai-assistant/conversations/[sessionId]/route.ts; frontend/src/components/chat/simple-rag-chat.tsx; frontend/src/hooks/use-rag-conversations.ts
/api/ai-assistant/conversations/[sessionId],api,true,0,frontend/src/app/api/ai-assistant/conversations/[sessionId]/route.ts,
/api/ai-assistant/feedback,api,false,1,frontend/src/app/api/ai-assistant/feedback/route.ts,frontend/src/components/ai-assistant/chat-area.tsx
/api/ai-assistant/messages/[sessionId],api,true,0,frontend/src/app/api/ai-assistant/messages/[sessionId]/route.ts,
/api/ai-assistant/usage-stats,api,false,1,frontend/src/app/api/ai-assistant/usage-stats/route.ts,frontend/src/app/(main)/admin/ai-observability/page.tsx
/api/auth/admin-check,api,false,1,frontend/src/app/api/auth/admin-check/route.ts,frontend/src/app/(main)/admin-check/page.tsx
/api/auth/post-login-redirect,api,false,2,frontend/src/app/api/auth/post-login-redirect/route.ts,frontend/src/components/misc/login-form.tsx; frontend/src/components/misc/login-page-v2.tsx
/api/auth/signup,api,false,1,frontend/src/app/api/auth/signup/route.ts,frontend/src/components/misc/sign-up-form.tsx
/api/avatar/[personId],api,true,0,frontend/src/app/api/avatar/[personId]/route.ts,
/api/clients,api,false,0,frontend/src/app/api/clients/route.ts,
/api/commitments,api,false,26,frontend/src/app/api/commitments/route.ts,frontend/src/app/(main)/[projectId]/change-orders/new/page.tsx; frontend/src/app/(main)/[projectId]/commitments/[commitmentId]/edit/page.tsx; frontend/src/app/(main)/[projectId]/commitments/[commitmentId]/page.tsx; frontend/src/app/(main)/[projectId]/commitments/recycle-bin/page.tsx; frontend/src/app/api/commitments/[id]/advanced-settings/route.ts
/api/commitments/[id],api,true,0,frontend/src/app/api/commitments/[id]/route.ts,
/api/commitments/[id]/advanced-settings,api,true,0,frontend/src/app/api/commitments/[id]/advanced-settings/route.ts,
/api/commitments/[id]/attachments,api,true,0,frontend/src/app/api/commitments/[id]/attachments/route.ts,
/api/commitments/[id]/attachments/[attachmentId],api,true,0,frontend/src/app/api/commitments/[id]/attachments/[attachmentId]/route.ts,
/api/commitments/[id]/change-orders,api,true,0,frontend/src/app/api/commitments/[id]/change-orders/route.ts,
/api/commitments/[id]/change-orders/[changeOrderId],api,true,0,frontend/src/app/api/commitments/[id]/change-orders/[changeOrderId]/route.ts,
/api/commitments/[id]/change-orders/[changeOrderId]/approve,api,true,0,frontend/src/app/api/commitments/[id]/change-orders/[changeOrderId]/approve/route.ts,
/api/commitments/[id]/email,api,true,0,frontend/src/app/api/commitments/[id]/email/route.ts,
/api/commitments/[id]/export,api,true,0,frontend/src/app/api/commitments/[id]/export/route.ts,
/api/commitments/[id]/invoices,api,true,0,frontend/src/app/api/commitments/[id]/invoices/route.ts,
/api/commitments/[id]/permanent-delete,api,true,0,frontend/src/app/api/commitments/[id]/permanent-delete/route.ts,
