Item No,Sub Job,Cost Code,Cost Type,Description Of Work,Scheduled Value,Work Completed: From Previous Application,Work Completed: This Period,Materials Presently Stored,Total Completed and Stored To Date,%,Balance To Finish,From Previous Application: Work Retainage $,Retained This Period: Work Retainage %,Retained This Period: Work Retainage $,Retained This Period: Materials Retainage %,Retained This Period: Materials Retainage $,Released This Period: Work Retainage $,Released This Period: Materials Retainage $,Currently Retained: Work Retainage $,Currently Retained: Materials Retainage $,Total $
1,"",21-1313,S,Labor,87450.00,69960.00,17490.00,0.00,87450.00,100.0%,0.00,6996.00,10.0%,1749.00,10.0%,0.00,0.00,0.00,8745.00,0.00,8745.00
2,"",21-1313,S,Permits,1500.00,1500.00,0.00,0.00,1500.00,100.0%,0.00,150.00,10.0%,0.00,10.0%,0.00,0.00,0.00,150.00,0.00,150.00
